Id,Speed (km/h),Position,Distance
16.0,0.0,76.0,0.0
17.0,0.0,85.0,0.0
26.0,28.8,105.0,8.0
1.0,18.0,90.0,5.0
2.0,10.8,91.0,3.0
3.0,3.6,82.0,1.0
16.0,3.6,76.0,1.0
17.0,3.6,86.0,1.0
26.0,32.4,106.0,9.0
1.0,28.8,92.0,8.0
2.0,10.8,91.0,3.0
3.0,3.6,82.0,1.0
16.0,3.6,76.0,1.0
17.0,3.6,86.0,1.0
26.0,28.8,106.0,8.0
1.0,43.2,96.0,12.0
2.0,7.2,92.0,2.0
3.0,7.2,82.0,2.0
16.0,7.2,76.0,2.0
17.0,7.2,87.0,2.0
26.0,28.8,106.0,8.0
2.0,3.6,94.0,1.0
3.0,3.6,81.0,1.0
16.0,10.8,76.0,3.0
17.0,7.2,88.0,2.0
26.0,32.4,106.0,9.0
1.0,43.2,97.0,12.0
2.0,3.6,94.0,1.0
3.0,3.6,81.0,1.0
16.0,18.0,77.0,5.0
17.0,7.2,88.0,2.0
26.0,32.4,106.0,9.0
1.0,46.800000000000004,97.0,13.0
21.0,14.4,73.0,2.0
2.0,7.2,93.0,2.0
3.0,0.0,81.0,0.0
16.0,28.8,80.0,8.0
17.0,0.0,87.0,0.0
26.0,36.0,107.0,10.0
1.0,43.2,96.0,12.0
21.0,26.584615384615386,75.0,4.0
2.0,0.0,94.0,0.0
3.0,0.0,81.0,0.0
16.0,25.2,79.0,7.0
17.0,0.0,86.0,0.0
26.0,46.800000000000004,109.0,13.0
29.0,14.4,86.0,2.0
1.0,43.2,95.0,12.0
21.0,24.685714285714283,75.0,4.0
2.0,10.8,95.0,3.0
3.0,3.6,82.0,1.0
16.0,14.4,77.0,4.0
17.0,0.0,85.0,0.0
26.0,46.800000000000004,109.0,13.0
1.0,32.4,91.0,9.0
21.0,23.040000000000003,75.0,4.0
2.0,14.4,95.0,4.0
3.0,10.8,84.0,3.0
16.0,3.6,74.0,1.0
26.0,46.800000000000004,109.0,13.0
1.0,32.4,91.0,9.0
2.0,0.0,94.0,0.0
3.0,18.0,85.0,5.0
16.0,7.2,75.0,2.0
26.0,46.800000000000004,109.0,13.0
1.0,21.6,88.0,6.0
21.0,16.2,74.0,3.0
17.0,3.6,84.0,1.0
2.0,0.0,96.0,0.0
3.0,18.0,85.0,5.0
16.0,0.0,73.0,0.0
26.0,43.2,109.0,12.0
1.0,28.8,89.0,8.0
21.0,5.08235294117647,72.0,1.0
17.0,0.0,85.0,0.0
2.0,7.2,97.0,2.0
3.0,18.0,85.0,5.0
16.0,10.8,76.0,3.0
26.0,43.2,110.0,12.0
1.0,36.0,91.0,10.0
21.0,0.0,71.0,0.0
17.0,0.0,85.0,0.0
2.0,10.8,97.0,3.0
3.0,18.0,85.0,5.0
16.0,0.0,74.0,0.0
26.0,36.0,110.0,10.0
31.0,64.8,49.0,9.0
1.0,32.4,89.0,9.0
30.0,21.6,38.0,3.0
21.0,4.547368421052632,70.0,1.0
17.0,3.6,84.0,1.0
2.0,10.8,96.0,3.0
3.0,14.4,85.0,4.0
16.0,3.6,73.0,1.0
26.0,36.0,110.0,10.0
1.0,21.6,88.0,6.0
30.0,19.938461538461542,38.0,3.0
21.0,4.32,70.0,1.0
29.0,6.6461538461538465,85.0,1.0
2.0,18.0,96.0,5.0
3.0,14.4,85.0,4.0
16.0,7.2,73.0,2.0
26.0,28.8,110.0,8.0
1.0,21.6,89.0,6.0
30.0,18.514285714285712,38.0,3.0
21.0,4.114285714285714,70.0,1.0
29.0,0.0,84.0,0.0
2.0,18.0,96.0,5.0
3.0,14.4,85.0,4.0
16.0,7.2,73.0,2.0
26.0,28.8,111.0,8.0
1.0,21.6,89.0,6.0
30.0,23.040000000000003,37.0,4.0
21.0,3.9272727272727277,70.0,1.0
29.0,5.760000000000001,83.0,1.0
2.0,18.0,96.0,5.0
3.0,14.4,85.0,4.0
16.0,10.8,72.0,3.0
26.0,21.6,111.0,6.0
1.0,21.6,89.0,6.0
30.0,21.6,37.0,4.0
21.0,3.756521739130435,70.0,1.0
29.0,10.8,82.0,2.0
2.0,21.6,96.0,6.0
3.0,14.4,85.0,4.0
16.0,10.8,72.0,3.0
26.0,21.6,112.0,6.0
1.0,7.2,88.0,2.0
30.0,20.32941176470588,37.0,4.0
21.0,7.2,69.0,2.0
2.0,21.6,96.0,6.0
3.0,14.4,85.0,4.0
16.0,10.8,72.0,3.0
26.0,18.0,111.0,5.0
1.0,7.2,89.0,2.0
30.0,24.0,36.0,5.0
21.0,0.0,69.0,0.0
29.0,5.08235294117647,83.0,1.0
2.0,25.2,97.0,7.0
3.0,14.4,85.0,4.0
16.0,10.8,72.0,3.0
26.0,14.4,110.0,4.0
1.0,0.0,89.0,0.0
30.0,22.736842105263158,36.0,5.0
21.0,10.8,71.0,3.0
29.0,0.0,84.0,0.0
2.0,28.8,98.0,8.0
3.0,10.8,85.0,3.0
16.0,7.2,73.0,2.0
26.0,10.8,109.0,3.0
1.0,7.2,89.0,2.0
30.0,21.6,36.0,5.0
21.0,21.6,61.0,6.0
29.0,4.547368421052632,83.0,1.0
2.0,25.2,98.0,7.0
3.0,10.8,85.0,3.0
16.0,10.8,73.0,3.0
26.0,10.8,109.0,3.0
1.0,10.8,91.0,3.0
21.0,10.8,70.0,3.0
29.0,0.0,84.0,0.0
2.0,28.8,99.0,8.0
3.0,10.8,85.0,3.0
16.0,10.8,73.0,3.0
26.0,14.4,109.0,4.0
1.0,10.8,91.0,3.0
21.0,18.0,72.0,5.0
29.0,0.0,84.0,0.0
2.0,25.2,98.0,7.0
3.0,7.2,84.0,2.0
16.0,18.0,71.0,5.0
26.0,10.8,109.0,3.0
1.0,3.6,91.0,1.0
21.0,14.4,61.0,4.0
29.0,0.0,84.0,0.0
2.0,25.2,98.0,7.0
3.0,7.2,84.0,2.0
16.0,21.6,70.0,6.0
26.0,7.2,108.0,2.0
1.0,3.6,91.0,1.0
21.0,18.0,69.0,5.0
29.0,0.0,84.0,0.0
2.0,18.0,97.0,5.0
3.0,7.2,84.0,2.0
16.0,18.0,71.0,5.0
26.0,10.8,109.0,3.0
1.0,18.0,91.0,5.0
21.0,18.0,72.0,5.0
29.0,0.0,84.0,0.0
3.0,7.2,83.0,2.0
16.0,21.6,70.0,6.0
26.0,10.8,109.0,3.0
1.0,10.8,94.0,3.0
21.0,39.6,75.0,11.0
29.0,7.2,82.0,2.0
3.0,7.2,83.0,2.0
16.0,28.8,69.0,8.0
26.0,10.8,109.0,3.0
1.0,7.2,95.0,2.0
21.0,18.0,76.0,5.0
29.0,18.0,80.0,5.0
